title,artist,videoId,score,seed_key
sTraNgeRs,Bring Me The Horizon,ZCtTgJDcFcQ,80.0,Teardrops Bring Me The Horizon alt rock
sTraNgeRs,Bring Me The Horizon,XvxhZmJSa2Q,80.0,sTrAnGeRs Bring Me The Horizon alt rock
Sun,Loveless,XfhZvWymg5w,80.0,Middle of the Night Loveless alt rock
Paladin Strait,twenty one pilots,aLGQTKtbkbg,79.45205479452055,Paladin Strait Twenty One Pilots alt rock
Middle of the Night,ShiroNeko,EdpP3nsR8mA,79.16666666666667,Middle of the Night Loveless alt rock
Wrecked,Imagine Dragons,0Y8Bk7qEyYE,78.94736842105263,Sirens Imagine Dragons alt rock
Thunder,Imagine Dragons,9ssQKlLxBdQ,78.94736842105263,Sirens Imagine Dragons alt rock
Rise Up,Imagine Dragons,x12CWu3V0lg,78.94736842105263,Sirens Imagine Dragons alt rock
Natural,Imagine Dragons,pXu6JC6-d_o,78.94736842105263,Sirens Imagine Dragons alt rock
Crushed,Imagine Dragons,6QPPdyAQxeM,78.94736842105263,Sirens Imagine Dragons alt rock
Monster,Imagine Dragons,jpuxopYX3Yw,78.94736842105263,Sirens Imagine Dragons alt rock
Hear Me,Imagine Dragons,VDiPFn8NVkE,78.94736842105263,Sirens Imagine Dragons alt rock
Trouble,Imagine Dragons,pchMJSCdO00,78.94736842105263,Sirens Imagine Dragons alt rock
Sugar,Sleep Token,IbOFlk200Zg,78.57142857142857,Caramel Sleep Token alt rock
Happy Song,Bring Me The Horizon,Stb1zlaOZO8,78.43137254901961,Teardrops Bring Me The Horizon alt rock
Follow You,Bring Me The Horizon,RqQKhSzThyc,78.43137254901961,Teardrops Bring Me The Horizon alt rock
Off The Heezay,Bring Me The Horizon,O5VNnKggEV0,78.43137254901961,Teardrops Bring Me The Horizon alt rock
Happy Song,Bring Me The Horizon,fBn--U3bPsY,78.43137254901961,sTrAnGeRs Bring Me The Horizon alt rock
Usurper,End,fpQ-eRmJySI,77.77777777777777,Usurper The Villians & NXCRE alt metal
Middle of the Night,SDM Nation,EEVP-Ed0-jU,77.55102040816327,Middle of the Night Loveless alt rock
Symphony,Imagine Dragons,UaF9OL8k10w,76.92307692307692,Sirens Imagine Dragons alt rock
Bad Liar,Imagine Dragons,I203G1sMGDg,76.92307692307692,Sirens Imagine Dragons alt rock
Believer,Imagine Dragons,Kx7B-XvmFtE,76.92307692307692,Sirens Imagine Dragons alt rock
Burn Out,Imagine Dragons,AcJ6Vv9pMeA,76.92307692307692,Sirens Imagine Dragons alt rock
in the dark,Bring Me The Horizon,hjcwDW3fC58,76.92307692307692,Teardrops Bring Me The Horizon alt rock
"Dear Diary,",Bring Me The Horizon,V3Pp4IGPebg,76.92307692307692,Teardrops Bring Me The Horizon alt rock
Dark Signs,Prong,ivJGyFLMQcQ,76.92307692307692,Dark Signs Sleep Token alt rock
Usurper,"NXCRE, The Villains",tGD4WjRIpCw,76.92307692307692,Usurper The Villians & NXCRE alt metal
What You Need,Bring Me The Horizon,k48k3BUdcXQ,76.7123287671233,Teardrops Bring Me The Horizon alt rock
DiE4u,Bring Me the Horizon,45ZkW-m91VA,76.19047619047619,Teardrops Bring Me The Horizon alt rock
Euclid,Sleep Token,DDdByJYUVeA,75.86206896551724,Rain Sleep Token alt rock
Higher,Sleep Token,mbB3Z8uZlqY,75.86206896551724,Dark Signs Sleep Token alt rock
Paladin Strait (Originally Performed by Twenty One Pilots) (Instrumental Version),Hit The Button Karaoke,_pTPJ7a55VM,75.75757575757575,Paladin Strait Twenty One Pilots alt rock
Paladin Strait (Originally Performed by Twenty One Pilots) (Karaoke Version),Hit The Button Karaoke,g371BtHMACQ,75.75757575757575,Paladin Strait Twenty One Pilots alt rock
Night Time,The Loveless,ORB3krgDGt8,75.67567567567568,Middle of the Night Loveless alt rock
Night Time,The Loveless,Qnn6Hyb0n8E,75.67567567567568,Middle of the Night Loveless alt rock
Parasite Eve,Bring Me The Horizon,GbiB9BBs_qk,75.47169811320755,Teardrops Bring Me The Horizon alt rock
Sleepwalking,Bring Me The Horizon,1Y6MNSVNxf8,75.47169811320755,Teardrops Bring Me The Horizon alt rock
Shadow Moses,Bring Me The Horizon,w-9QbmebBn8,75.47169811320755,Teardrops Bring Me The Horizon alt rock
True Friends,Bring Me The Horizon,kan6EZaBBHI,75.47169811320755,Teardrops Bring Me The Horizon alt rock
Sleepwalking,Bring Me The Horizon,-ImtrFw69e8,75.47169811320755,Teardrops Bring Me The Horizon alt rock
I'm Happy,Imagine Dragons,_WahfCWz8nw,75.0,Sirens Imagine Dragons alt rock
Real Life,Imagine Dragons,_esJ3ciMH1c,75.0,Sirens Imagine Dragons alt rock
Middle of the Night,Alannah Moar,HIBevLtkWFg,74.50980392156863,Middle of the Night Loveless alt rock
In the Middle of the Night,Dark Moor,OGTDSwfnuY0,74.50980392156863,Middle of the Night Loveless alt rock
Middle of the Night,Zac Wilkerson,n0INLsNEZdw,74.28571428571428,Middle of the Night Loveless alt rock
Chelsea Smile,Bring Me The Horizon,dBLyVj8Yuy4,74.07407407407408,Teardrops Bring Me The Horizon alt rock
mother tongue,Bring Me The Horizon,n2H0tbLCpqQ,74.07407407407408,Teardrops Bring Me The Horizon alt rock
It Never Ends,Bring Me The Horizon,CIxOB8XvQKs,74.07407407407408,sTrAnGeRs Bring Me The Horizon alt rock
Without Me,Halsey,B4eSOHSVOxw,74.07407407407408,Without Me Dayseeker alt rock
